SP500,APPL,TSLA,MSFT,AMZN,COST
210.27,24.62,14.64,52.85,35.97,152.52
210.91,24.43,14.6,52.48,36.41,151.51
210.28,24.48,14.6,51.79,36.28,151.71
211.35,24.66,14.71,52.13,36.34,152.24
211.68,24.76,15.49,52.1,36.19,152.62
212.37,24.74,15.7,52.04,36.33,153.37
212.08,24.91,15.29,51.62,36.38,154.05
210.07,24.71,14.59,51.48,35.9,154.87
208.45,24.34,14.52,50.14,35.76,154.95
208.04,24.37,14.33,49.83,35.97,155.87
207.75,24.29,14.51,49.69,35.71,154.86
208.37,24.39,14.53,50.39,35.88,156.42
206.52,23.83,14.36,50.13,35.32,155.89
207.85,23.78,14.65,50.07,35.7,156.48
208.44,23.98,14.64,51.19,35.79,157.2
208.1,23.89,13.11,50.99,35.53,158.12
210.81,24.03,13.09,51.91,36.1,157.03
203.13,23.35,12.88,49.83,34.95,155.56
199.6,23.01,13.24,48.43,34.57,154.26
203.2,23.4,13.45,49.44,35.4,155.6
206.66,23.6,14.01,50.54,35.78,157.08
209.48,23.9,14.15,51.17,35.78,157.04
209.92,23.97,14.43,51.16,36.28,156.11
208.41,23.75,14.27,51.17,36.41,155.25
209.66,23.88,14.3,51.38,36.88,156.01
209.53,23.99,14.4,51.38,36.83,163.7
212.65,24.17,14.45,52.3,37.29,165.44
213.4,24.25,14.99,52.59,37.69,166.72
214.95,24.36,14.98,53.21,37.41,166.28
214.92,24.22,14.84,53.51,37.13,166.78
216.12,24.7,14.77,53.74,37.06,166.94
215.83,24.7,14.69,53.7,36.77,166.41
216.41,24.96,15.08,53.96,36.8,167.51
216.19,24.97,15.02,53.09,37.0,168.12
217.09,24.99,15.22,55.91,37.29,168.04
216.27,24.86,14.7,55.8,37.22,167.05
217.24,24.67,14.82,56.57,37.24,167.47
216.65,24.34,15.33,56.73,36.98,167.97
216.75,24.17,15.3,56.76,36.78,167.57
216.52,25.74,15.23,56.19,36.83,166.15
216.77,26.09,15.37,56.21,37.63,166.35
217.12,26.05,15.65,56.68,37.94,167.22
216.94,26.51,15.33,56.58,38.39,167.56
215.55,26.12,15.15,56.58,38.03,166.5
216.18,26.45,15.05,56.97,37.73,166.12
216.41,26.47,15.37,57.39,38.04,166.55
218.18,26.87,15.34,57.96,38.3,167.7
218.05,27.09,15.08,58.06,38.33,167.4
218.18,27.2,15.27,58.2,38.42,167.86
217.64,27.0,15.04,58.02,38.43,168.29
218.65,26.98,14.99,58.3,38.56,167.88
218.46,27.05,15.04,57.94,38.63,169.04
219.09,27.37,15.04,58.12,38.42,168.73
217.96,27.35,14.91,57.44,38.2,168.41
218.37,27.31,14.88,57.56,38.23,167.96
218.86,27.27,14.9,57.6,38.22,167.75
218.54,27.34,15.0,57.62,37.87,168.02
218.53,27.13,14.86,57.67,37.97,167.94
218.97,27.21,14.99,57.89,38.12,167.36
217.85,27.01,14.84,57.95,37.86,167.57
217.7,26.89,14.73,58.17,37.96,164.86
217.29,26.74,14.67,58.03,38.45,163.93
218.36,26.71,14.35,58.1,38.56,163.98
218.0,26.5,14.09,57.89,38.38,161.96
217.38,26.53,14.13,57.46,38.46,162.09
217.39,26.68,13.38,57.59,38.53,156.21
218.37,26.93,13.19,57.67,38.62,157.98
219.03,26.93,13.52,57.61,39.44,158.06
219.01,27.09,13.45,57.66,39.22,155.64
218.51,26.38,13.16,57.43,39.2,153.47
213.28,25.78,12.96,56.21,38.01,150.7
216.34,26.36,13.22,57.05,38.57,151.69
213.23,26.99,13.07,56.53,38.05,150.74
213.15,27.94,13.09,56.26,38.05,150.69
215.28,28.89,13.36,57.19,38.48,152.67
213.37,28.73,13.69,57.25,38.93,152.35
213.41,28.4,13.76,56.93,38.76,151.79
213.42,28.39,13.64,56.81,39.01,152.17
215.82,28.39,13.68,57.76,39.49,152.7
217.18,28.66,13.76,57.82,40.24,153.15
215.99,28.18,13.83,57.43,40.29,152.53
214.24,28.22,13.93,56.9,39.96,151.19
215.57,28.27,13.72,57.95,40.81,150.45
216.64,28.49,13.75,58.03,41.44,149.41
214.68,28.05,13.38,57.4,41.45,147.49
216.3,28.26,13.6,57.6,41.87,152.51
215.78,28.13,14.25,57.42,41.84,151.01
214.68,28.25,14.09,57.24,41.7,150.48
215.63,28.26,13.9,57.64,42.22,149.98
215.78,28.47,13.4,57.74,42.08,149.47
215.04,28.52,13.11,57.8,41.97,149.99
216.16,29.01,13.4,58.04,42.09,150.28
213.43,29.08,13.34,57.19,41.55,151.01
213.71,29.34,13.43,57.11,41.7,150.46
213.01,29.25,13.35,56.92,41.46,150.22
213.12,29.41,13.1,57.42,41.15,150.15
212.38,29.39,12.93,57.22,40.65,148.7
213.71,29.37,13.27,57.66,40.88,149.11
214.28,29.28,13.57,57.53,40.88,149.45
213.88,29.27,13.27,57.25,40.52,150.04
213.98,29.15,13.34,59.66,40.95,148.97
214.89,29.41,13.52,61.0,41.9,152.12
214.17,29.56,13.49,60.99,41.76,150.99
213.74,28.9,13.48,60.63,41.13,150.98
213.17,28.62,13.6,60.1,40.92,150.86
212.54,28.43,13.33,59.87,38.82,149.76
212.55,28.39,13.18,59.92,39.49,147.87
211.01,27.87,12.72,59.8,39.27,146.66
209.74,27.9,12.53,59.43,38.28,146.27
208.78,27.46,12.49,59.21,38.35,144.45
208.55,27.21,12.7,58.71,37.75,142.24
213.15,27.6,12.88,60.42,39.25,143.54
